jugar,gordo,desayuno,agua,naranja,mañana,sol,hola,yo,perro,planta,vacaciones,muñeca,¿que hacemos?,silla,auto,cabeza,remera,casa,cerca,divertido,Fonoaudiología,Pediatra,piñata
trabajar,bueno,comida,coca cola,frutilla,tarde,nubes,buenos dias!,tu,gato,arbol,excursion,muñeco,¿que?,silla de ruedas,moto,cara,buzo,residencia,lejos,aburrido,Psicopedagogía,Neurólogo,globo
escribir,limpio,merienda,fanta,limon,noche,lluvia,buenas tardes,amiga,gallo,hoja,colonia,peluche,¿cuantos?,silla con motor,tren,pelo,campera,taller,adelante,calor,Psicología,Psiquiatra,regalo
leer,bonito,cena,jugo naranja,banana,ayer,nieve,buena noches,amigo,gallina,tronco,musica,rompecabezas,¿como?,ventilador,barco,nariz,campera de abrigo,tienda,entre,caliente,Terapia Ocupacional,Cardiologo,cumpleaños
hablar,delgado,ensalada,leche,melon,hoy,trueno,adios,maestra,conejo,raiz,gimnasia,encastrable,¿que hora?,mesa,bicicleta,ojo,pantalones,calle,atras,frio,Musicoterapia,,carnaval
contar,malo,arroz,cafe,cerezas,mañana,relampago,¿que tal?,maestro,pollito,flor,deporte,pelota,¿cuando?,armario,camion,boca,vestido,plaza,al lado,miedo,Kinesiología,,hallowen
estudiar,sucio,lentejas,jugo manzana,manzana,pronto,niebla,es gracioso,abuela,pato,hierba,,escondida,¿quien?,sillon,taxi,dientes,falda,escuela,adentro,asustado,Psicomotricista,,navidad
explicar,joven,canelones,mate,mandarina,antes,viento,buen provecho,abuelo,oveja,rosa,,videojuego,¿para que sirve?,cama,tractor,lengua,zapatos,panaderia,afuera,dolor,,,año nuevo
agarrar,rapido,pure,te,sandia,ahora,luna,yo tambien,abuelos,cabra,margarita,,cartas,¿por que?,estanteria,subte,oreja,botas,parque,sobre,enfermo,,,papa noel
pintar,encendido,papa,,pera,despues,arco iris,estoy bien,ellos,burro,,,jugar,¿de quien?,ventana,camioneta,cuello,medias,bar,abajo,mareado,,,reyes magos
arrancar,claro,zapallo,,,tarde,,¿como estas?,embarazada,caballo,,,mi turno,¿donde?,puerta,ambulancia,cadera,camisa,mercado,izquierda,sorprendido,,,casamiento
cambiar,viejo,verduras,,,dia ,,¿como te llamas?,gemelos,cerdo,,,sortear,,llave,colectivo,espalda,campera impermeable,peluqueria,derecha,paciencia,,,fuegos artificiales
beber,lento,huevo,,,mes,,buenisimo,hermana,vaca,,,,,lampara,avion,brazo,babero,farmacia,primero,enojado,,,
comer,apagado,tortilla,,,año,,es una tonteria,hermano,lobo,,,,,luz,helicoptero,barriga,pañuelo,restaurante,ultimo,contento,,,
enseñar,oscuro,sopa,,,verano,,de acuerdo,tio,pez,,,,,bipedestador,coete,culo,pijama,pizzeria,arriba,cansado,,,
dormir,nuevo,carne,,,otoño,,ya esta,tia,raton,,,,,camilla,accidente,vagina,delantal,biblioteca,,triste,,,
cocinar,viejo,salchicha,,,invierno,,equivocado,hombre,pajaro,,,,,espejo,rueda,pene,paraguas,museo,,nervioso,,,
ir,dulce,hamburguesa,,,primavera,,genial,mujer,lechuza,,,,,reloj,volante,pierna,bufanda,cine,,incomodo,,,
volver,salado,pollo,,,,,horrible,mama,bicho,,,,,comunicador,,pie,guantes,teatro,,,,,
levantarse,lindo,pizza ,,,,,ayuda,papa,araña,,,,,computadora,,dedo,gorro,circo,,,,,
acostarse,raro,pan,,,,,por favor,mellizos,mosca,,,,,internet,,mano,chaleco salvavidas,feria,,,,,
sentarse,duro,queso,,,,,gracias,movilidad reducida,mosquito,,,,,impresora,,uña,pañal,pueblo,,,,,
caminar,mojado,pescado,,,,,no toques,nena,abeja,,,,,televisor,,hueso,malla,ciudad,,,,,
correr,feo,tomate,,,,,felicidades,nene,mariposa,,,,,timbre,,piel,bombacha,aeropuerto,,,,,
bailar,roto,caramelo,,,,,lo siento,niños,gusano,,,,,telefono,,sangre,calzoncillo,estacion,,,,,
estacionar,blando ,sal,,,,,me gusta,nosotros,rana,,,,,radio,,,corpiño,hotel,,,,,
pasear,seco,manteca,,,,,no me gusta,paralisis cerebral,caracol,,,,,control remoto,,,corbata,hospital,,,,,
nadar,rizado,torta,,,,,te quiero,vecina,cangrejo,,,,,conmutador,,,cierre,iglesia,,,,,
saltar,igual,helado,,,,,no quiero,vecino,serpiente,,,,,tablero,,,boton,correo,,,,,
volar,facil,tostada,,,,,quiero,vecinos,lagartija,,,,,cosa,,,mascara,comisaria,,,,,
caer,liso,mermelada,,,,,mala suerte,,leon,,,,,lapiz,,,disfraz,carcel,,,,,
dar,diferente,azucar,,,,,no lo se,,ballena,,,,,pintura,,,anteojos,estacionamiento,,,,,
subir,dificil,,,,,,no lo entiendo,,canguro,,,,,pincel,,,cinto,playa,,,,,
guardar,fuerte,,,,,,quiero ir a ,,jirafa,,,,,pizarron,,,pulsera,mar,,,,,
esconder,flojo,,,,,,otro,,dinosaurio,,,,,papel,,,anillo,montaña,,,,,
bajar,alto,,,,,,,,delfin,,,,,revista,,,collar,camping,,,,,
hacer,bajo,,,,,,,,elefante,,,,,diario,,,,granja,,,,,
desvestir,todo,,,,,,,,foca,,,,,libro,,,,pileta,,,,,
vestir,nada,,,,,,,,tigre,,,,,cuento,,,,bosque,,,,,
bañar,mucho,,,,,,,,mono,,,,,calendario,,,,huerta,,,,,
secar,mas,,,,,,,,tortuga,,,,,agenda,,,,puente,,,,,
comprar,lleno,,,,,,,,ardilla,,,,,tijera,,,,rio,,,,,
pagar,vacio,,,,,,,,oso,,,,,plastilina,,,,tunel,,,,,
vender,poco,,,,,,,,cebra,,,,,carpeta,,,,ruta,,,,,
peinar,menos,,,,,,,,,,,,,pegamento,,,,rotonda,,,,,
mojar,largo,,,,,,,,,,,,,foto,,,,estacion servicio,,,,,
hacer pis,corto,,,,,,,,,,,,,dibujo,,,,cancha futbol,,,,,
hacer caca,metal,,,,,,,,,,,,,caja,,,,baño,,,,,
pegar,carton,,,,,,,,,,,,,piedra,,,,ducha,,,,,
limpiar,vidrio,,,,,,,,,,,,,mochila,,,,clase,,,,,
poner,plastico,,,,,,,,,,,,,dinero,,,,gimnasio,,,,,
cantar,madera,,,,,,,,,,,,,bolso,,,,comedor,,,,,
dibujar,grande,,,,,,,,,,,,,bolsa,,,,habitacion,,,,,
ordenar,mediano,,,,,,,,,,,,,canasta,,,,cocina,,,,,
coser,chico,,,,,,,,,,,,,fuego,,,,patio,,,,,
llevar,,,,,,,,,,,,,,juguetes,,,,escalera,,,,,
cortar,,,,,,,,,,,,,,pelota,,,,ascensor,,,,,
romper,,,,,,,,,,,,,,pala,,,,rampa,,,,,
pinchar,,,,,,,,,,,,,,hamaca,,,,,,,,,
abrir,,,,,,,,,,,,,,tobogan,,,,,,,,,
cerrar,,,,,,,,,,,,,,,,,,,,,,,
plantar,,,,,,,,,,,,,,,,,,,,,,,
regar,,,,,,,,,,,,,,,,,,,,,,,
mirar,,,,,,,,,,,,,,,,,,,,,,,
escuchar,,,,,,,,,,,,,,,,,,,,,,,
pensar,,,,,,,,,,,,,,,,,,,,,,,
oler,,,,,,,,,,,,,,,,,,,,,,,
reir,,,,,,,,,,,,,,,,,,,,,,,
llorar,,,,,,,,,,,,,,,,,,,,,,,
amar,,,,,,,,,,,,,,,,,,,,,,,
besar,,,,,,,,,,,,,,,,,,,,,,,
querer,,,,,,,,,,,,,,,,,,,,,,,
tener,,,,,,,,,,,,,,,,,,,,,,,
olvidar,,,,,,,,,,,,,,,,,,,,,,,
recordar,,,,,,,,,,,,,,,,,,,,,,,
aprender,,,,,,,,,,,,,,,,,,,,,,,
gustar,,,,,,,,,,,,,,,,,,,,,,,
ayudar,,,,,,,,,,,,,,,,,,,,,,,
saber,,,,,,,,,,,,,,,,,,,,,,,
pelear,,,,,,,,,,,,,,,,,,,,,,,
rascar,,,,,,,,,,,,,,,,,,,,,,,
descansar,,,,,,,,,,,,,,,,,,,,,,,
festejar,,,,,,,,,,,,,,,,,,,,,,,
perder,,,,,,,,,,,,,,,,,,,,,,,
ganar,,,,,,,,,,,,,,,,,,,,,,,
esperar,,,,,,,,,,,,,,,,,,,,,,,
abrazar,,,,,,,,,,,,,,,,,,,,,,,
invitar,,,,,,,,,,,,,,,,,,,,,,,
gritar,,,,,,,,,,,,,,,,,,,,,,,
molestar,,,,,,,,,,,,,,,,,,,,,,,
